-88,-183
-145,-192
-198,-178
-217,-157
-224,-134
-224,-115
-222,-93
-207,-81
-187,-69
-172,-53
-164,-39
-162,-13
-169,3
-185,15
-204,19
-221,26
-241,40
-258,62
-262,79
-266,112
-259,125
-243,163
-238,172
-213,193
-193,212
-179,221
-163,226
-128,230
-77,236
-60,238
24,242
61,237
95,229
121,220
146,204
158,192
179,176
190,162
206,143
212,132
219,117
229,96
240,72
248,44
259,5
267,-32
268,-59
264,-89
253,-112
220,-118
192,-110
172,-94
152,-67
131,-39
104,-22
70,-22
35,-36
24,-58
26,-82
28,-121
21,-154
12,-171
-23,-169
-50,-147
-91,-141
-89,-164
-78,-178
