-169,-231
-193,-221
-204,-201
-212,-183
-220,-156
-218,-142
-216,-124
-211,-105
-192,-75
-181,-53
-172,-38
-154,-16
-140,6
-131,14
-111,32
-95,45
-89,46
-68,62
-64,66
-33,77
-11,80
23,82
27,81
64,80
116,79
139,78
158,69
181,60
196,49
213,31
245,6
255,-10
264,-28
272,-48
278,-74
283,-103
284,-126
286,-150
286,-170
277,-184
261,-206
240,-217
230,-222
198,-228
179,-229
154,-229
127,-229
108,-227
71,-227
57,-229
31,-232
8,-234
-6,-234
-16,-235
-33,-235
-45,-235
-72,-235
-94,-235
-111,-235
-134,-234
-146,-234
-166,-231
